Year,Honor,Name,Country,Birth Year,Death Year,Title,Category,Count,Context
1983,Men of the Year,Yuri Andropov,Soviet Union,1914,1984,General Secretary of the Communist Party of the Soviet Union,War,1,"Strategic Defense Initiative, Cold War"
1984,Man of the Year,Peter Ueberroth,United States,1937,,President of the 1984 Summer Olympic Games Organizing Committee,Politics,1,Olympic Games
1985,Man of the Year,Deng Xiaoping,China,1904,1997,Paramount Leader of the People’s Republic of China,Politics,1,Economic Reforms
1986,Woman of the Year,Corazon Aquino,Philippines,1933,2009,President of the Philippines,Revolution,1,Philippine Revolution
1987,Man of the Year,Mikhail Gorbachev,Soviet Union,1931,,General Secretary of the Communist Party of the Soviet Union,Politics,1,Political Reforms
1988,Planet of the Year,The Endangered Earth,,,,,Environment,1,
1989,Man of the Decade,Mikhail Gorbachev,Soviet Union,1931,,President of the Soviet Union,Politics,1,Democratic Elections
1990,Man of the Year,George H. W. Bush,United States,1924,,President of the United States,War,1,Gulf War
1991,Man of the Year,Ted Turner,United States,1938,,Founder of CNN,Media,1,
1992,Man of the Year,Bill Clinton,United States,1946,,President of the United States,Politics,1,Presidential Election
1993,Men of the Year,The Peacemakers (Yitzhak Rabin),Israel,1922,1995,Prime Minister of Israel,Diplomacy,1,Oslo Accord
1993,Men of the Year,The Peacemakers (Yasser Arafat),Palestine,1929,2004,President of the Palestinian National Authority,Diplomacy,1,Oslo Accord
1993,Men of the Year,The Peacemakers (F. W. de Klerk),South Africa,1936,,State President of South Africa,Politics,1,End of Apartheid
1993,Men of the Year,The Peacemakers (Nelson Mandela),South Africa,1918,2013,President of South Africa,Politics,1,End of Apartheid
1994,Man of the Year,Pope John Paul II,Vatican City,1920,2005,Pope of the Roman Catholic Church,Religion,1,
1995,Man of the Year,Newt Gingrich,United States,1943,,Speaker of the House,Politics,1,Congressional Elections
1996,Man of the Year,David Ho,United States,1952,,Director of AIDS Research Center,Science,1,AIDS Research
1997,Man of the Year,Andrew Grove,United States,1936,2016,CEO of Intel,Technology,1,
1998,Men of the Year,Bill Clinton,United States,1946,,President of the United States,Politics,1,Presidential Impeachment
1998,Men of the Year,Ken Starr,United States,1946,,Office of the Independent Counsel,Politics,1,Presidential Impeachment
1999,Person of the Year,Jeff Bezos,United States,1964,,Founder and CEO of Amazon,Technology,1,
1999,Person of the Century,Albert Einstein,United States,,,,Science,1,
2000,Person of the Year,George W. Bush,United States,1946,,President of the United States,Politics,1,Presidential Election
2001,Person of the Year,Rudy Giuliani,United States,1944,,Mayor of New York City,War,1,9/11 Terrorist Attacks
2002,Persons of the Year,The Whistleblowers (Cynthia Cooper),United States,,,Vice President of Internal Audit at WorldCom,Economics,1,Corporate Fraud
2002,Persons of the Year,The Whistleblowers (Coleen Rowley),United States,1954,,FBI Special Agent,Politics,1,9/11 Terrorist Attacks
2002,Persons of the Year,The Whistleblowers (Sherron Watkins),United States,1959,,Vice President of Corporate Development at Enron,Economics,1,Corporate Fraud
2003,Person of the Year,The American Soldier,United States,,,,War,1,Iraq War
2004,Person of the Year,George W. Bush,United States,1946,,President of the United States,Politics,1,Presidential Election
